_time,_value,CTYPE,CTYPEC,ETYPE,_field
2026-04-24 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-29 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-30 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-03-31 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-01 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-02 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
